Follower Athlete ID,Follow Status,Created At
55780652,Accepted,"Apr 25, 2020, 6:22:50 PM"
71813854,Pending,"Nov 5, 2021, 3:51:46 AM"
47338202,Pending,"May 31, 2023, 4:40:21 AM"
22310797,Pending,"Jan 28, 2024, 4:32:43 PM"
