Promotion Seen,Timestamp
OfflineMapsFirstTimeExperience,1685591925
OfflineMapsFirstTimeExperience,1685772932
OfflineMapsFirstTimeExperience,1686288730
OfflineMapsFirstTimeExperience,1686934574
OfflineMapsFirstTimeExperience,1690235084
OfflineMapsFirstTimeExperience,1690238994
OfflineMapsFirstTimeExperience,1690347587
OfflineMapsFirstTimeExperience,1690428800
OfflineMapsFirstTimeExperience,1691288856
OfflineMapsFirstTimeExperience,1693235839
OfflineMapsFirstTimeExperience,1693235854
OfflineMapsFirstTimeExperience,1693235863
OfflineMapsFirstTimeExperience,1698444147
OfflineMapsFirstTimeExperience,1699078549
OfflineMapsFirstTimeExperience,1699078557
OfflineMapsFirstTimeExperience,1701066250
OfflineMapsFirstTimeExperience,1701280095
OfflineMapsFirstTimeExperience,1701452185
OfflineMapsFirstTimeExperience,1701727345
OfflineMapsFirstTimeExperience,1701797154
OfflineMapsFirstTimeExperience,1701970558
OfflineMapsFirstTimeExperience,1702063830
OfflineMapsFirstTimeExperience,1702661290
OfflineMapsFirstTimeExperience,1702835917
OfflineMapsFirstTimeExperience,1703364596
OfflineMapsFirstTimeExperience,1704497763
OfflineMapsFirstTimeExperience,1704497818
OfflineMapsFirstTimeExperience,1704497855
OfflineMapsFirstTimeExperience,1705171380
OfflineMapsFirstTimeExperience,1705171388
OfflineMapsFirstTimeExperience,1705171394
OfflineMapsFirstTimeExperience,1707886981
OfflineMapsFirstTimeExperience,1709105125
OfflineMapsFirstTimeExperience,1709489821
FollowingFeedDoradoCooldown,1658889013
FollowingFeedDoradoCooldown,1658889014
FollowingFeedDoradoCooldown,1658889261
FollowingFeedDoradoCooldown,1658889262
FollowingFeedDoradoCooldown,1658889263
FollowingFeedDoradoCooldown,1659063791
FollowingFeedDoradoCooldown,1659063792
FollowingFeedDoradoCooldown,1659065981
FollowingFeedDoradoCooldown,1659065982
FollowingFeedDoradoCooldown,1659065999
FollowingFeedDoradoCooldown,1659066000
FollowingFeedDoradoCooldown,1659075335
FollowingFeedDoradoCooldown,1659075336
FollowingFeedDoradoCooldown,1659210803
FollowingFeedDoradoCooldown,1659210804
FollowingFeedDoradoCooldown,1659223842
FollowingFeedDoradoCooldown,1659223843
FollowingFeedDoradoCooldown,1659293747
FollowingFeedDoradoCooldown,1659296954
FollowingFeedDoradoCooldown,1659369818
FollowingFeedDoradoCooldown,1659369819
FollowingFeedDoradoCooldown,1659399820
FollowingFeedDoradoCooldown,1659399821
FollowingFeedDoradoCooldown,1659411752
FollowingFeedDoradoCooldown,1659411753
FollowingFeedDoradoCooldown,1659411842
FollowingFeedDoradoCooldown,1659411843
FollowingFeedDoradoCooldown,1659411859
FollowingFeedDoradoCooldown,1659411860
FollowingFeedDoradoCooldown,1659411874
FollowingFeedDoradoCooldown,1659411875
FollowingFeedDoradoCooldown,1659494482
FollowingFeedDoradoCooldown,1659545679
FollowingFeedDoradoCooldown,1659545680
FollowingFeedDoradoCooldown,1659548332
FollowingFeedDoradoCooldown,1659548333
FollowingFeedDoradoCooldown,1659548334
FollowingFeedDoradoCooldown,1659556057
FollowingFeedDoradoCooldown,1659556058
FollowingFeedDoradoCooldown,1659556059
FollowingFeedDoradoCooldown,1659556060
FollowingFeedDoradoCooldown,1659556070
FollowingFeedDoradoCooldown,1659556182
FollowingFeedDoradoCooldown,1659556183
FollowingFeedDoradoCooldown,1659556186
FollowingFeedDoradoCooldown,1659556187
FollowingFeedDoradoCooldown,1659558319
FollowingFeedDoradoCooldown,1659558320
FollowingFeedDoradoCooldown,1659558325
FollowingFeedDoradoCooldown,1659558326
FollowingFeedDoradoCooldown,1659558331
FollowingFeedDoradoCooldown,1659558332
