eis_id,title,document_type,lead_agency,state,all_states,filed_date,filed_year,federal_register_date,comment_letter_date,comment_due_date,epa_impact,epa_adequacy,attachment_count
76883,California Acoustic Thermometry of Ocean Climate (ATOC) Program and Marine Mammal Research Program (MMRP) Funding Marine Mammal Research Permit and COE Nationwide Permits Issuance Monterey County CA,Draft,Department of Defense,CA,CA,1994-11-22,1994,1994-12-02,1995-01-31,1995-01-31,Environmental Concerns,2.0,0
81507,Fishing Bridge Campsite Replacement Project Implementation Yellowstone National Park Fremont County ID; Park and Gallatin Counties MT and Park and Teton Counties WY,Draft,National Park Service,,,1994-11-23,1994,1994-12-02,1995-01-31,1995-02-17,Lack of Objections,,0
85061,G. F. Erambert and Black Creek Seed Orchards Pest Management Plan Implementation Southern Region National Forests in Mississippi Forrest and Perry Counties MS,Draft,Forest Service,MS,MS,1994-11-25,1994,1994-12-02,1995-01-20,1995-01-23,Environmental Concerns,1.0,1
81884,Southwest Harbor Cleanup and Redevelopment Project Construction COE Section 10/404 Permit and NPDES Permit Issuance SW Spokane Street to Elliott Bay and Harbor Avenue SW to the West Waterway Port of Seattle King County WA,Final,U.S. Army Corps of Engineers,WA,WA,1994-11-25,1994,1994-12-02,1995-02-22,1995-01-03,Lack of Objections,,0
85372,Helicopter Glacier Landing Tours Implementation Issuance of Special-Use-Permits Tongass National Forest Chatham Area Juneau Ranger District Alaska,Draft,Forest Service,AK,AK,1994-11-25,1994,1994-12-02,1995-02-13,1995-01-20,Lack of Objections,,0
88551,Lemoore Naval Air Station Realignment Relocation of 98 Military Construction Projects from Miramar Naval Air Station Implemention Lemoore County CA,Final,United States Navy,CA,CA,1994-11-25,1994,1994-12-02,1995-01-03,1995-01-03,Environmental Concerns,2.0,0
77869,Skagit River Basin Hydroelectric Projects Nine Projects - (FERC No.10100) (FERC. No. 4437) (FERC No. 4376) (FERC. No. 3913) (FERC No. 9787) (FERC No. 10311) (FERC No. 6984) and (FERC No. 10269 and No. 10416) Construction and Operation Licensing Whatcom,Draft,Federal Energy Regulatory Commission,WA,WA,1994-11-25,1994,1994-12-02,1995-02-23,1995-01-30,Environmental Objections,2.0,0
77548,Nooksack River Basin Hydroelectric Projects Seven Projects - (FERC No. 4628) (FERC No. 4738) (FERC No. 4270) (FERC No. 4282) (FERC No. 9231) (FERC No. 4312) and (FERC No. 3721) Construction and Operation Licensing Whatcom County WA,Draft,Federal Energy Regulatory Commission,WA,WA,1994-11-25,1994,1994-12-02,1995-02-28,1995-01-30,Environmental Objections,2.0,0
84736,Castle Air Force Base (AFB) Disposal and Reuse Implementation Merced County CA,Final,United States Air Force,CA,CA,1994-11-25,1994,1994-12-02,1994-12-27,1995-01-03,Environmental Concerns,2.0,0
81443,White-Tailed Deer Management Plan Implementation Gettysburg National Military Park and Eisenhower Historic Site Adams County PA,Draft,National Park Service,PA,PA,1994-11-30,1994,1994-12-09,1995-03-24,1995-02-10,Lack of Objections,,0
86825,PROGRAMMATIC - Federal Aid in Sports Fish and Wildlife Restoration Programs Operation and Management Updated Information Implementation and Funding,Final Supplement,Fish and Wildlife Service,,,1994-11-30,1994,1994-12-09,1995-01-06,1995-01-09,Lack of Objections,,0
84905,Crane Mountain Salvage Project Resource Management Implementation Flathead National Forest Swan Lake Ranger District Flathead County MT,Draft,Forest Service,MT,MT,1994-11-30,1994,1994-12-09,1995-01-23,1995-01-23,Environmental Concerns,2.0,0
82664,Watts Bar Nuclear Plant Unit 1 and 2 Updated Information Related to the Operations Approval for Application for a Facility Operating License and NPDES Permit Rhea County TN,Draft Supplement,Nuclear Regulatory Commission,TN,TN,1994-12-01,1994,1994-12-09,1995-01-27,1995-01-30,Environmental Concerns,2.0,0
89012,Naval Air Warfare Center Aircraft Division Base Realignment and Construction Patuxent River St. Mary's Calvert and Charles Counties MD,Final,United States Navy,MD,MD,1994-12-01,1994,1994-12-09,1995-01-05,1995-01-09,Lack of Objections,,0
81177,Atlantic Mackerel Squid and Butterfish Fisheries Fishery Management Plan Amendment No. 5 Implementation Exclusive Economic Zone (EEZ) off the US Atlantic Coast,Draft,National Oceanic and Atmospheric Administration,,,1994-12-01,1994,1994-12-09,1995-01-20,1995-01-23,Lack of Objections,,0
77580,Penobscot River Basin Hydroelectric Project Ripogenus (FERC No. 2572) and Penobscot Mills (FERC No. 2458) Operation Changes and Minor Construction Licenses Renewal Piscataquis and Penobscot Counties ME,Draft,Federal Energy Regulatory Commission,ME,ME,1994-12-01,1994,1994-12-09,1995-02-21,1995-01-23,Environmental Concerns,2.0,0
83551,Savannah Harbor Navigation Project Operation and Maintenance Long Term Management Strategy Study Chatham County GA and Jasper County SC,Draft,U.S. Army Corps of Engineers,,,1994-12-02,1994,1994-12-09,1995-01-20,1995-01-23,Environmental Concerns,2.0,0
77866,Kingsley Dam Project (FERC. No. 1417) and North Platte/Keystone Diversion Dam (FERC. No. 1835) Hydroelectric Project Additional Information Application for Licenses Near the Confluence of the North/South Plattes Keith Lincoln Garden Dawson and Gras,Draft Supplement,Federal Energy Regulatory Commission,NB,NB,1994-12-02,1994,1994-12-09,1995-01-23,1995-01-23,,3.0,0
77638,Saco River Basin Hydropower Development (FERC Project Nos. 2528 2527 2194 2531 2529 2530 and 11365) Licenses and Relicenses ME and NH,Draft,Federal Energy Regulatory Commission,,,1994-12-02,1994,1994-12-09,1995-03-07,1995-01-23,Environmental Concerns,2.0,0
76175,Houston Metropolitan Detention Center Site Selection Construction and Operation City of Houston Harris County TX,Final,Bureau of Prisons,TX,TX,1994-12-06,1994,1994-12-16,1995-01-05,1995-01-16,Environmental Concerns,2.0,0
84089,Shamrock Timber Sales Timber Harvesting and Road Construction Updated Information Stikine Area Kupreanof Island Tongass National Forest Implementation AK,Draft Supplement,Forest Service,AK,AK,1994-12-07,1994,1994-12-16,1995-01-25,1995-01-30,Environmental Concerns,2.0,0
83580,Humboldt Harbor and Bay (Deepening) Channels Feasibility Study for Navigation Improvements Humboldt County CA,Draft,U.S. Army Corps of Engineers,CA,CA,1994-12-08,1994,1994-12-16,1995-01-30,1995-01-30,Environmental Concerns,2.0,0
